task,model,calibration,train_seconds,peak_memory_mb,accuracy,balanced_accuracy,macro_f1,mcc,log_loss,brier,rps,ece,precision_H,recall_H,f1_H,precision_D,recall_D,f1_D,precision_A,recall_A,f1_A,mae,rmse,r2,corr
L,RandomForest,sigmoid,0.3516514000002644,,0.6555555555555556,0.5578703703703703,0.5324434556915091,0.44070748024896267,0.8162291015754825,0.4808069098598673,0.14878391233787397,0.13340209820068644,0.8666666666666667,0.8125,0.8387096774193549,0.18181818181818182,0.1111111111111111,0.13793103448275862,0.5294117647058824,0.75,0.6206896551724138,,,,
L,RandomForest,isotonic,0.35088700000051176,,0.6537037037037037,0.5547839506172839,0.5282628274207529,0.4377587215691145,0.8616791319653493,0.4918710024698098,0.1557377696520544,0.054723471168860234,0.8666666666666667,0.8125,0.8387096774193549,0.16923076923076924,0.10185185185185185,0.12716763005780346,0.526829268292683,0.75,0.6189111747851003,,,,
L,GBM,none,0.0,0.0,0.5333333333333333,0.45138888888888884,0.45735535593547766,0.2692125675834442,2.5454821307923194,0.915441873289539,0.2658236777435912,0.4809677006802079,0.8461538461538461,0.6875,0.7586206896551724,0.125,0.16666666666666666,0.14285714285714285,0.4444444444444444,0.5,0.47058823529411764,,,,
L,GBM,sigmoid,4.026544799999101,,0.5796296296296296,0.4328703703703704,0.3999435909639775,0.2629099272655781,0.9587833524657722,0.5530352335115866,0.184790307591153,0.1431496636813985,0.7138810198300283,0.875,0.7862714508580343,0.0,0.0,0.0,0.40397350993377484,0.4236111111111111,0.4135593220338983,,,,
L,GBM,isotonic,4.025128500004939,,0.5648148148148148,0.41435185185185186,0.3862823962558268,0.22637640582586716,2.225515339533776,0.5902946114160262,0.19393595608287773,0.12037793404651281,0.6792452830188679,0.875,0.7647951441578149,0.0,0.0,0.0,0.424,0.3680555555555556,0.3940520446096654,,,,
L,XGBoost,none,0.0,0.0,0.5,0.4583333333333333,0.44741483337974564,0.2648538676772748,1.3793180867267583,0.7266591040142274,0.22231235560422646,0.36945223651182235,0.9090909090909091,0.625,0.7407407407407407,0.23076923076923078,0.5,0.3157894736842105,0.3333333333333333,0.25,0.2857142857142857,,,,
L,XGBoost,sigmoid,0.5294326000002911,,0.5833333333333334,0.5046296296296297,0.5101862659425708,0.3534821787791817,0.8807993151946665,0.5126470993846253,0.16119917476308931,0.1398545939035114,0.923728813559322,0.7569444444444444,0.8320610687022901,0.21052631578947367,0.3333333333333333,0.25806451612903225,0.45864661654135336,0.4236111111111111,0.4404332129963899,,,,
L,XGBoost,isotonic,0.5313619000007748,,0.5685185185185185,0.48726851851851843,0.4935663320031179,0.3326330086859438,0.9275872454672535,0.5294983927723939,0.1718047618567566,0.10829098596920149,0.9234042553191489,0.7534722222222222,0.8298279158699808,0.2011173184357542,0.3333333333333333,0.2508710801393728,0.42857142857142855,0.375,0.4,,,,
L,LightGBM,none,0.0,0.0,0.43333333333333335,0.3680555555555555,0.380476833108412,0.1542881708415041,2.965011001273046,0.9498217934345975,0.29970813020288406,0.5098300356838448,0.9,0.5625,0.6923076923076923,0.1111111111111111,0.16666666666666666,0.13333333333333333,0.2727272727272727,0.375,0.3157894736842105,,,,
L,LightGBM,sigmoid,0.49911449999490287,,0.6,0.5277777777777778,0.5314659197012138,0.3905353061016929,0.955395113501458,0.5674885446945505,0.1814237107354356,0.09188870655377664,1.0,0.75,0.8571428571428571,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.4444444444444444,0.5,0.47058823529411764,,,,
L,LightGBM,isotonic,0.5177133000033791,,0.5092592592592593,0.4108796296296296,0.4278771968889045,0.24972627929482882,0.942151436184152,0.5893617057168632,0.17524984278783506,0.15896203289560976,0.9715639810426541,0.7118055555555556,0.8216432865731463,0.0949367088607595,0.1388888888888889,0.11278195488721804,0.3216374269005848,0.3819444444444444,0.3492063492063492,,,,
L,FIGS,none,0.0,0.0,0.5,0.40972222222222215,0.41347962382445136,0.20979270448951087,1.0383493099374261,0.6236461166055718,0.22140441479548068,0.1754663184031901,0.8461538461538461,0.6875,0.7586206896551724,0.2,0.16666666666666666,0.18181818181818182,0.25,0.375,0.3,,,,
L,FIGS,sigmoid,5.93901800000458,,0.5333333333333333,0.45138888888888884,0.4439665471923537,0.2364481082832986,0.9210841521084511,0.5559624821534663,0.19867192042957538,0.12765259445963079,0.7333333333333333,0.6875,0.7096774193548387,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.5,0.4,,,,
L,FIGS,isotonic,5.929575899994234,,0.5333333333333333,0.45138888888888884,0.4439665471923537,0.2364481082832986,0.8944556912562537,0.5358749284113717,0.18876747846933445,0.19052894580609725,0.7333333333333333,0.6875,0.7096774193548387,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.5,0.4,,,,
L_reg,DummyPrior,none,0.0006037999992258847,,,,,,,,,,,,,,,,,,,1.7623655913978495,2.3035435460480698,-0.03706440427486313,0.0
L_reg,SVR,none,0.31222140000318177,,,,,,,,,,,,,,,,,,,1.3740379026401421,1.7349669037893045,0.41170485526171086,0.6693983645443085
L_reg,KernelRidge,none,0.2818388000014238,,,,,,,,,,,,,,,,,,,1.3640356212292877,1.7903554503165633,0.3735428068120734,0.6490772108079254
L_reg,KernelRidgeApprox,none,0.2785266999999294,,,,,,,,,,,,,,,,,,,1.3893945007393183,1.741941173680536,0.4069656574794418,0.6847817165569476
L_reg,RandomForest,none,10.906937399995513,,,,,,,,,,,,,,,,,,,1.4819721255596252,1.9901664534093917,0.22590960672128013,0.568801265156328
L_reg,GBM,none,14.823821300000418,,,,,,,,,,,,,,,,,,,1.6251591928162314,1.9409463349608025,0.26372521005906746,0.6337372274252242
L_reg,XGBoost,none,6.862897499995597,,,,,,,,,,,,,,,,,,,1.5883851793077257,1.9586686827176716,0.25021830449661653,0.628190905781033
L_reg,LightGBM,none,2.0555335999961244,,,,,,,,,,,,,,,,,,,1.6193745073732517,2.1869361887423264,0.0652723334923494,0.3078808028855199
L_reg,FIGS,none,23.668309199994837,,,,,,,,,,,,,,,,,,,1.8723124805477744,2.283116981756231,-0.018753710563586212,0.33166898679679674
